before	2026-08-31T09:43:11.2203625+08:00	free_bytes=86226460672	free_gib=80.305
after_init	2026-08-31T09:43:56.4982208+08:00	free_bytes=64613494784	free_gib=60.176
after_unpack_super	2026-08-31T09:44:10.9479340+08:00	free_bytes=57322311680	free_gib=53.386
after_delete_scratch_super	2026-08-31T09:44:11.1048730+08:00	free_bytes=71280955392	free_gib=66.386
after_extract	2026-08-31T09:45:36.2917979+08:00	free_bytes=63057629184	free_gib=58.727
after_apply	2026-08-31T09:46:14.2094977+08:00	free_bytes=62576648192	free_gib=58.279
after_pack_images	2026-08-31T09:47:27.9813196+08:00	free_bytes=62866759680	free_gib=58.549
after_delete_unpack	2026-08-31T09:47:28.7934380+08:00	free_bytes=70908579840	free_gib=66.039
after_sign	2026-08-31T09:48:11.0673539+08:00	free_bytes=70517583872	free_gib=65.675
after_pack_super	2026-08-31T09:48:54.5688763+08:00	free_bytes=70753054720	free_gib=65.894
after_verifier	2026-08-31T09:51:24.7551333+08:00	free_bytes=78033338368	free_gib=72.674
complete	2026-08-31T09:52:00.8496649+08:00	free_bytes=78824022016	free_gib=73.411
