before	2026-09-02T07:44:49.2876094+08:00	free_bytes=86651260928	free_gib=80.7
after_init	2026-09-02T07:45:37.4094403+08:00	free_bytes=65032273920	free_gib=60.566
after_unpack_super	2026-09-02T07:45:52.1693938+08:00	free_bytes=57741090816	free_gib=53.776
after_delete_scratch_super	2026-09-02T07:45:52.5170487+08:00	free_bytes=71699734528	free_gib=66.776
after_extract	2026-09-02T07:47:18.4393998+08:00	free_bytes=63480586240	free_gib=59.121
after_apply	2026-09-02T07:48:11.1218689+08:00	free_bytes=62995836928	free_gib=58.669
after_pack_images	2026-09-02T07:49:30.9307588+08:00	free_bytes=63284998144	free_gib=58.939
after_delete_unpack	2026-09-02T07:49:31.8338785+08:00	free_bytes=71326838784	free_gib=66.428
after_sign	2026-09-02T07:50:13.5235115+08:00	free_bytes=70933409792	free_gib=66.062
after_pack_super	2026-09-02T07:50:45.2378554+08:00	free_bytes=71169032192	free_gib=66.281
